Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover;"Closing Price";"Closing Price DateTime"
AQUILA;FR0010340711;ALAQU;"Euronext Growth Paris";EUR;3.70;3.70;3.70;3.70;"03/08/2026 11:30";CET;392;1450.40;3.70;03/08/2026
"ARAMIS GROUP";FR0014003U94;ARAMI;"Euronext Paris";EUR;3.90;4.04;3.90;3.94;"03/08/2026 17:35";CET;41342;164413.46;3.94;03/08/2026
"ARCELORMITTAL SA";LU1598757687;MT;"Euronext Amsterdam, Paris";EUR;61.50;62.96;60.52;61.82;"03/08/2026 17:37";CET;1637021;101350388.58;61.82;03/08/2026
ARCHOS;FR001400KO61;ALJXR;"Euronext Growth Paris";EUR;0.286;0.3145;0.27;0.2995;"03/08/2026 17:35";CET;2229531;663955.47;0.2995;03/08/2026
"ARCHOS BSA";FR0014018EP6;JXRBS;"Euronext Growth Paris";EUR;0.118;0.13;0.118;0.13;"03/08/2026 17:27";CET;85844;10404.00;0.13;03/08/2026
ARCURE;FR0013398997;ALCUR;"Euronext Growth Paris";EUR;2.40;2.42;2.39;2.39;"03/08/2026 17:35";CET;1899;4558.32;2.39;03/08/2026
"ARDOIN ST AMAND A";FR0005057635;MLARD;"Euronext Access Paris";EUR;200.00;200.00;200.00;200.00;"28/04/2026 11:30";CET;1;200.00;200.00;03/08/2026
"ARDOIN ST AMAND B";FR0004070795;ARDO;"Euronext Access Paris";EUR;72.00;72.00;72.00;72.00;"03/08/2020 16:30";CET;2;144.00;72.00;03/08/2026
"AREF THALASSA";ES0105661005;MLARE;"Euronext Access Paris";EUR;8.75;8.75;8.75;8.75;"17/11/2022 00:00";CET;-;-;8.75;03/08/2026
ARGAN;FR0010481960;ARG;"Euronext Paris";EUR;75.10;76.50;74.50;75.00;"03/08/2026 17:35";CET;21533;1622401.10;75.00;03/08/2026
"ARIMELIA ITG";ES0105601001;MLARI;"Euronext Access Paris";EUR;2.97;2.97;2.97;2.97;"17/09/2021 00:00";CET;-;-;2.98;03/08/2026
ARKEMA;FR0010313833;AKE;"Euronext Paris";EUR;59.05;61.15;58.70;61.15;"03/08/2026 17:35";CET;256085;15537180.91;61.15;03/08/2026
"AROCA DEL PINAR";ES0105486007;MLARO;"Euronext Access Paris";EUR;14.60;14.60;14.60;14.60;"16/08/2020 00:00";CET;-;-;4.12;03/08/2026
ARTEA;FR0012185536;ARTE;"Euronext Paris";EUR;5.45;5.55;5.25;5.55;"03/08/2026 15:43";CET;35;188.85;5.55;03/08/2026
"ARTMARKET COM";FR0000074783;PRC;"Euronext Paris";EUR;2.80;2.81;2.58;2.80;"03/08/2026 17:35";CET;9372;25381.30;2.80;03/08/2026
"ARTOIS NOM.";FR0000076952;ARTO;"Euronext Paris";EUR;9900.00;9900.00;9900.00;9900.00;"27/07/2026 16:30";CET;1;9900.00;9900.00;03/08/2026
"ARVERNE GROUP";FR001400JWR8;ARVEN;"Euronext Paris";EUR;8.04;8.04;7.88;7.94;"03/08/2026 17:35";CET;3971;31666.62;7.94;03/08/2026
"ARVERNE WARRANT";FR0014003AC4;ARVBS;"Euronext Paris";EUR;0.05;0.05;0.05;0.05;"25/11/2025 11:23";CET;150000;7500.00;0.05;03/08/2026
"ASHLER ET MANSON";FR0012968485;MLAEM;"Euronext Access Paris";EUR;2.40;2.40;2.40;2.40;"29/07/2026 11:30";CET;30;72.00;2.40;03/08/2026
ASSYSTEM;FR0000074148;ASY;"Euronext Paris";EUR;42.00;42.50;41.70;42.30;"03/08/2026 17:35";CET;837;35263.25;42.30;03/08/2026
ATARI;FR00140173Y6;ALATA;"Euronext Growth Paris";EUR;21.00;21.98;20.60;21.20;"03/08/2026 17:29";CET;3124;66591.95;21.20;03/08/2026
ATEME;FR0011992700;ATEME;"Euronext Paris";EUR;12.00;12.20;11.80;12.05;"03/08/2026 17:35";CET;8884;106926.45;12.05;03/08/2026
ATLAND;FR0013455482;ATLD;"Euronext Paris";EUR;33.90;34.00;33.30;34.00;"03/08/2026 17:35";CET;128;4324.30;34.00;03/08/2026
ATON;FR0004153930;ALTAO;"Euronext Growth Paris";EUR;0.0102;0.0136;0.0102;0.011;"03/08/2026 17:35";CET;29931674;350237.11;0.011;03/08/2026
"ATOS GROUP";FR001400X2S4;ATO;"Euronext Paris";EUR;32.00;32.48;31.12;31.80;"03/08/2026 17:36";CET;93294;2957282.34;31.80;03/08/2026
AUBAY;FR0000063737;AUB;"Euronext Paris";EUR;55.10;56.10;54.90;55.60;"03/08/2026 17:35";CET;6429;357894.70;55.60;03/08/2026
AUDACIA;FR00140059B5;ALAUD;"Euronext Growth Paris";EUR;4.20;4.28;4.16;4.28;"03/08/2026 16:41";CET;8788;37379.42;4.28;03/08/2026
"AUGROS COSMETIC";FR0000061780;AUGR;"Euronext Paris";EUR;4.64;4.64;4.64;4.64;"31/07/2026 16:30";CET;9;41.76;4.64;03/08/2026
AUREA;FR0000039232;AURE;"Euronext Paris";EUR;5.72;5.72;5.68;5.70;"03/08/2026 10:39";CET;98;560.04;5.70;03/08/2026
"AVENIR TELECOM";FR001400CFI7;AVT;"Euronext Paris";EUR;0.093;0.0962;0.09;0.0922;"03/08/2026 17:35";CET;412938;38212.95;0.0922;03/08/2026
